id,name,source
1.2.PSev.Poor4uds,Poverty Severity ($4 a day)-Urban,LAC Equity Lab
1.2_ACCESS.ELECTRICITY.RURAL,Access to electricity (% of rural population),Sustainable Energy for All
1.3_ACCESS.ELECTRICITY.URBAN,Access to electricity (% of urban population),Sustainable Energy for All
100000,100000:GROSS DOMESTIC PRODUCT,International Comparison Program (ICP) 2005
1000000,1000000:GROSS DOMESTIC PRODUCT,ICP 2017
110000,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,International Comparison Program (ICP) 2005
110100,110100:FOOD AND NON-ALCOHOLIC BEVERAGES,International Comparison Program (ICP) 2005
1101000,1101000:FOOD AND NON-ALCOHOLIC BEVERAGES,ICP 2017
110110,110110:FOOD,International Comparison Program (ICP) 2005
1101100,1101100:FOOD,ICP 2017
110111,110111:Bread and cereals (Class),International Comparison Program (ICP) 2005
1101110,1101110:Bread and cereals,ICP 2017
110112,110112:Meat (Class),International Comparison Program (ICP) 2005
1101120,1101120:Meat,ICP 2017
110113,110113:Fish and seafood (Class),International Comparison Program (ICP) 2005
1101130,1101130:Fish and seafood,ICP 2017
110114,"110114:Milk, cheese and eggs (Class)",International Comparison Program (ICP) 2005
1101140,"1101140:Milk, cheese and eggs",ICP 2017
110115,110115:Oils and fats (Class),International Comparison Program (ICP) 2005
1101150,1101150:Oils and fats,ICP 2017
110116,110116:Fruit (Class),International Comparison Program (ICP) 2005
1101160,1101160:Fruit,ICP 2017
110117,110117:Vegetables (Class),International Comparison Program (ICP) 2005
1101170,1101170:Vegetables,ICP 2017
110118,"110118:Sugar, jam, honey, chocolate and confectionery (Class)",International Comparison Program (ICP) 2005
1101180,"1101180:Sugar, jam, honey, chocolate and confectionery",ICP 2017
110119,110119:Food products nec (Class),International Comparison Program (ICP) 2005
1101190,1101190:Food products n.e.c. (Class),ICP 2017
110120,110120:NON-ALCOHOLIC BEVERAGES,International Comparison Program (ICP) 2005
1101200,1101200:NON-ALCOHOLIC BEVERAGES,ICP 2017
110200,"110200:ALCOHOL BEVERAGES, TOBACCO AND NARCOTICS",International Comparison Program (ICP) 2005
1102000,"1102000:ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",ICP 2017
110210,110210:ALCOHOL BEVERAGES,International Comparison Program (ICP) 2005
1102100,1102100:ALCOHOLIC BEVERAGES,ICP 2017
110220,110220:TOBACCO,International Comparison Program (ICP) 2005
1102200,1102200:TOBACCO,ICP 2017
110300,110300:CLOTHING AND FOOTWEAR,International Comparison Program (ICP) 2005
1103000,1103000:CLOTHING AND FOOTWEAR,ICP 2017
110400,"110400:HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",International Comparison Program (ICP) 2005
110500,"110500:FURNISHING, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE",International Comparison Program (ICP) 2005
1105000,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",ICP 2017
110600,110600:HEALTH - HHC (Category),International Comparison Program (ICP) 2005
110700,110700:TRANSPORT,International Comparison Program (ICP) 2005
1107000,1107000:TRANSPORT,ICP 2017
110710,110710:PURCHASE OF VEHICLES,International Comparison Program (ICP) 2005
1107100,1107100:PURCHASE OF VEHICLES,ICP 2017
110730,110730:TRANSPORT SERVICES,International Comparison Program (ICP) 2005
1107300,1107300:TRANSPORT SERVICES,ICP 2017
110800,110800:COMMUNICATION,International Comparison Program (ICP) 2005
1108000,1108000:COMMUNICATION,ICP 2017
111100,111100:RESTAURANTS AND HOTELS,International Comparison Program (ICP) 2005
1111000,1111000:RESTAURANTS AND HOTELS,ICP 2017
111300,111300:BALANCE OF EXPENDITURES OF RESIDENTS ABROAD AND EXPENDITURES OF NON-RESIDENTS IN THE ECONOMIC TERRITORY,International Comparison Program (ICP) 2005
1113000,1113000:NET PURCHASES ABROAD,ICP 2017
130000,130000:INDIVIDUAL CONSUMPTION EXPENDITURE BY GOVERNMENT,International Comparison Program (ICP) 2005
1300000,1300000:INDIVIDUAL CONSUMPTION EXPENDITURE BY GOVERNMENT,ICP 2017
140000,140000:COLLECTIVE CONSUMPTION EXPENDITURE BY GOVERNMENT,International Comparison Program (ICP) 2005
1400000,1400000:COLLECTIVE CONSUMPTION EXPENDITURE BY GOVERNMENT,ICP 2017
150000,150000:GROSS FIXED CAPITAL FORMATION,International Comparison Program (ICP) 2005
1500000,1500000:GROSS CAPITAL FORMATION,ICP 2017
150100,150100:MACHINERY AND EQUIPMENT,International Comparison Program (ICP) 2005
1501000,1501000:GROSS FIXED CAPITAL FORMATION,ICP 2017
1501100,1501100:MACHINERY AND EQUIPMENT,ICP 2017
1501200,1501200:CONSTRUCTION,ICP 2017
1501300,1501300:OTHER PRODUCTS,ICP 2017
150200,150200:CONSTRUCTION,International Comparison Program (ICP) 2005
1502000,1502000:CHANGES IN INVENTORIES,ICP 2017
150300,150300:OTHER PRODUCTS,International Comparison Program (ICP) 2005
1503000,1503000:ACQUISITIONS LESS DISPOSALS OF VALUABLES (Category),ICP 2017
1600000,1600000:BALANCE OF EXPORTS AND IMPORTS,ICP 2017
160100,160100:CHANGES IN INVENTORIES,International Comparison Program (ICP) 2005
160200,160200:ACQUISITIONS LESS DISPOSALS OF VALUABLES,International Comparison Program (ICP) 2005
170000,170000:BALANCE OF EXPORTS AND IMPORTS,International Comparison Program (ICP) 2005
2.0.cov.Cel,Coverage: Mobile Phone,LAC Equity Lab
2.0.cov.Ele,Coverage: Electricity,LAC Equity Lab
2.0.cov.FPS,Coverage: Finished Primary School,LAC Equity Lab
2.0.cov.Int,Coverage: Internet ,LAC Equity Lab
2.0.cov.Math.pl_2.all,Coverage: Mathematics Proficiency Level 2,LAC Equity Lab
2.0.cov.Math.pl_2.prv,"Coverage: Mathematics Proficiency Level 2, Private schools",LAC Equity Lab
2.0.cov.Math.pl_2.pub,"Coverage: Mathematics Proficiency Level 2, Public schools",LAC Equity Lab
2.0.cov.Math.pl_3.all,Coverage: Mathematics Proficiency Level 3,LAC Equity Lab
2.0.cov.Math.pl_3.prv,"Coverage: Mathematics Proficiency Level 3, Private schools",LAC Equity Lab
2.0.cov.Math.pl_3.pub,"Coverage: Mathematics Proficiency Level 3, Public schools",LAC Equity Lab
2.0.cov.Read.pl_2.all,Coverage: Reading Proficiency Level 2,LAC Equity Lab
2.0.cov.Read.pl_2.prv,"Coverage: Reading Proficiency Level 2, Private schools",LAC Equity Lab
2.0.cov.Read.pl_2.pub,"Coverage: Reading Proficiency Level 2, Public schools",LAC Equity Lab
2.0.cov.Read.pl_3.all,Coverage: Reading Proficiency Level 3,LAC Equity Lab
2.0.cov.Read.pl_3.prv,"Coverage: Reading Proficiency Level 3, Private schools",LAC Equity Lab
2.0.cov.Read.pl_3.pub,"Coverage: Reading Proficiency Level 3, Public schools",LAC Equity Lab
2.0.cov.San,Coverage: Sanitation,LAC Equity Lab
2.0.cov.Sch,Coverage: School Enrollment,LAC Equity Lab
2.0.cov.Scie.pl_2.all,Coverage: Science Proficiency Level 2,LAC Equity Lab
2.0.cov.Scie.pl_2.prv,"Coverage: Science Proficiency Level 2, Private schools",LAC Equity Lab
2.0.cov.Scie.pl_2.pub,"Coverage: Science Proficiency Level 2, Public schools",LAC Equity Lab
2.0.cov.Scie.pl_3.all,Coverage: Science Proficiency Level 3,LAC Equity Lab
2.0.cov.Scie.pl_3.prv,"Coverage: Science Proficiency Level 3, Private schools",LAC Equity Lab
2.0.cov.Scie.pl_3.pub,"Coverage: Science Proficiency Level 3, Public schools",LAC Equity Lab
2.0.cov.Wat,Coverage: Water,LAC Equity Lab
2.0.hoi.Cel,HOI: Mobile Phone,LAC Equity Lab
2.0.hoi.Ele,HOI: Electricity,LAC Equity Lab
2.0.hoi.FPS,HOI: Finished Primary School,LAC Equity Lab
2.0.hoi.Int,HOI: Internet ,LAC Equity Lab
2.0.hoi.Math.pl_2.all,HOI: Mathematics Proficiency Level 2,LAC Equity Lab
2.0.hoi.Math.pl_2.prv,"HOI: Mathematics Proficiency Level 2, Private schools",LAC Equity Lab
2.0.hoi.Math.pl_2.pub,"HOI: Mathematics Proficiency Level 2, Public schools",LAC Equity Lab
2.0.hoi.Math.pl_3.all,HOI: Mathematics Proficiency Level 3,LAC Equity Lab
2.0.hoi.Math.pl_3.prv,"HOI: Mathematics Proficiency Level 3, Private schools",LAC Equity Lab
2.0.hoi.Math.pl_3.pub,"HOI: Mathematics Proficiency Level 3, Public schools",LAC Equity Lab
2.0.hoi.Read.pl_2.all,HOI: Reading Proficiency Level 2,LAC Equity Lab
2.0.hoi.Read.pl_2.prv,"HOI: Reading Proficiency Level 2, Private schools",LAC Equity Lab
2.0.hoi.Read.pl_2.pub,"HOI: Reading Proficiency Level 2, Public schools",LAC Equity Lab
2.0.hoi.Read.pl_3.all,HOI: Reading Proficiency Level 3,LAC Equity Lab
2.0.hoi.Read.pl_3.prv,"HOI: Reading Proficiency Level 3, Private schools",LAC Equity Lab
2.0.hoi.Read.pl_3.pub,"HOI: Reading Proficiency Level 3, Public schools",LAC Equity Lab
2.0.hoi.San,HOI: Sanitation,LAC Equity Lab
2.0.hoi.Sch,HOI: School Enrollment,LAC Equity Lab
2.0.hoi.Scie.pl_2.all,HOI: Science Proficiency Level 2,LAC Equity Lab
2.0.hoi.Scie.pl_2.prv,"HOI: Science Proficiency Level 2, Private schools",LAC Equity Lab
2.0.hoi.Scie.pl_2.pub,"HOI: Science Proficiency Level 2, Public schools",LAC Equity Lab
2.0.hoi.Scie.pl_3.all,HOI: Science Proficiency Level 3,LAC Equity Lab
2.0.hoi.Scie.pl_3.prv,"HOI: Science Proficiency Level 3, Private schools",LAC Equity Lab
2.0.hoi.Scie.pl_3.pub,"HOI: Science Proficiency Level 3, Public schools",LAC Equity Lab
2.0.hoi.Wat,HOI: Water,LAC Equity Lab
2.1_ACCESS.CFT.TOT,Access to Clean Fuels and Technologies for cooking (% of total population),Sustainable Energy for All
2.1_PRE.PRIMARY.GER,"School enrolment, preprimary, national source (% gross)",Global Partnership for Education
2.1_SHARE.TOTAL.RE.IN.TFEC,Renewable energy consumption(% in TFEC),Sustainable Energy for All
2.2_GIR,"Gross intake ratio in grade 1, total, national source (% of relevant age group)",Global Partnership for Education
2.3_GIR.GPI,Gender parity index for gross intake ratio in grade 1,Global Partnership for Education
2.4_OOSC.RATE,"Rate of out of school children, national source (% of relevant age group) ",Global Partnership for Education
2.5_PCR,"Primary completion rate, total, national source (% of relevant age group)",Global Partnership for Education
2.6_PCR.GPI,Gender parity index for primary completion rate ,Global Partnership for Education
2.7_PRI.SEC.TRANSITION.RATE,"Progression to secondary school, national source (%)",Global Partnership for Education
2.8_LOW.SEC.COMPLETION.RATE,"Lower secondary completion rate, total, national source (% of relevant age group)",Global Partnership for Education
3.0.Atkin.0.5,"Atkinson, A(.5)",LAC Equity Lab
3.0.Atkin.1,"Atkinson, A(1)",LAC Equity Lab
3.0.Atkin.2,"Atkinson, A(2)",LAC Equity Lab
3.0.GenEnt-1,"Generalized Entrophy, GE(-1)",LAC Equity Lab
3.0.GenEnt2,"Generalized Entrophy, GE(2)",LAC Equity Lab
3.0.Gini,Gini Coefficient,LAC Equity Lab
3.0.Gini_nozero,Gini Coefficient (No Zero Income),LAC Equity Lab
3.0.IncShr.q1,Income Share of First Quintile,LAC Equity Lab
3.0.IncShr.q2,Income Share of Second Quintile,LAC Equity Lab
3.0.IncShr.q3,Income Share of Third Quintile,LAC Equity Lab
3.0.IncShr.q4,Income Share of Fourth Quintile,LAC Equity Lab
3.0.IncShr.q5,Income Share of Fifth Quintile,LAC Equity Lab
3.0.MLongDev0,"Mean Log Deviation, GE(0)",LAC Equity Lab
3.0.Rate75-25,Rate 75/25,LAC Equity Lab
3.0.Rate90-10,Rate 90/10,LAC Equity Lab
3.0.TheilInd1,"Theil Index, GE(1)",LAC Equity Lab
3.1.Gini,"Gini, Rural",LAC Equity Lab
3.1.MLongDev0,"Mean Log Deviation, GE(0), Rural",LAC Equity Lab
3.1.TheilInd1,"Theil Index, GE(1), Rural",LAC Equity Lab
3.1_LOW.SEC.NEW.TEACHERS,"Lower secondary education, new teachers, national source",Global Partnership for Education
3.1_PRI.NEW.ENTRANTS,"Primary education, new entrants, national source",Global Partnership for Education
3.1_RE.CONSUMPTION,Renewable energy consumption (TJ),Sustainable Energy for All
3.11_LOW.SEC.CLASSROOMS,"Lower secondary education, classrooms, national source",Global Partnership for Education
3.12_LOW.SEC.NEW.CLASSROOMS,"Lower secondary education, new classrooms, national source",Global Partnership for Education
3.13_PRI.MATH.BOOK.PER.PUPIL,"Ratio of textbooks per pupil, primary education, mathematics",Global Partnership for Education
3.14_PRI.LANGU.BOOK.PER.PUPIL,"Ratio of textbooks per pupil, primary education, language",Global Partnership for Education
3.15_LEARN.TIME.TEACHER.STUDY,Last study on effective learning time and teacher attendance (year),Global Partnership for Education
3.2.Gini,"Gini, Urban",LAC Equity Lab
3.2.MLongDev0,"Mean Log Deviation, GE(0),Urban",LAC Equity Lab
3.2.TheilInd1,"Theil Index, GE(1),Urban",LAC Equity Lab
3.2_PRI.STUDENTS,"Primary education, pupils, national source",Global Partnership for Education
3.3_PRI.TEACHERS,"Primary education, teachers, national source",Global Partnership for Education
3.4_PRI.NEW.TEACHERS,"Primary education, new teachers, national source",Global Partnership for Education
3.5_PRI.CLASSROOMS,"Primary education, classrooms, national source",Global Partnership for Education
3.6_PRI.NEW.CLASSROOMS,"Primary education, new classrooms, national source",Global Partnership for Education
3.7_LOW.SEC.NEW.ENTRANTS,"Lower Secondary education, new entrants, national source",Global Partnership for Education
3.8_LOW.SEC.STUDENTS,"Lower secondary education, pupils, national source",Global Partnership for Education
3.9_LOW.SEC.TEACHERS,"Lower secondary education, teachers, national source",Global Partnership for Education
4.0.nini.15a18,Youth: Neither in School Nor Working  (15-18),LAC Equity Lab
4.0.nini.15a24,Youth: Neither in School Nor Working  (15-24),LAC Equity Lab
4.0.nini.19a24,Youth: Neither in School Nor Working  (19-24),LAC Equity Lab
4.0.stud.15a18,Youth: In School (15-18),LAC Equity Lab
4.0.stud.15a24,Youth: In School (15-24),LAC Equity Lab
4.0.stud.19a24,Youth: In School (19-24),LAC Equity Lab
4.0.studwork.15a18,Youth: In School and Employed (15-18),LAC Equity Lab
4.0.studwork.15a24,Youth: In School and Employed (15-24),LAC Equity Lab
4.0.studwork.19a24,Youth: In School and Employed (19-24),LAC Equity Lab
4.0.work.15a18,Youth: Employed (15-18),LAC Equity Lab
4.0.work.15a24,Youth: Employed (15-24),LAC Equity Lab
4.0.work.19a24,Youth: Employed (19-24),LAC Equity Lab
4.1.1_TOTAL.ELECTRICITY.OUTPUT,Total electricity output (GWh),Sustainable Energy for All
4.1.2_REN.ELECTRICITY.OUTPUT,Renewable energy electricity output (GWh),Sustainable Energy for All
4.1.nini.15a18,"Youth: Neither in School Nor Working  (15-18), Male",LAC Equity Lab
4.1.nini.15a24,"Youth: Neither in School Nor Working  (15-24), Male",LAC Equity Lab
4.1.nini.19a24,"Youth: Neither in School Nor Working  (19-24), Male",LAC Equity Lab
4.1.stud.15a18,"Youth: In School (15-18), Male",LAC Equity Lab
4.1.stud.15a24,"Youth: In School (15-24), Male",LAC Equity Lab
4.1.stud.19a24,"Youth: In School (19-24), Male",LAC Equity Lab
4.1.studwork.15a18,"Youth: In School and Employed (15-18), Male",LAC Equity Lab
4.1.studwork.15a24,"Youth: In School and Employed (15-24), Male",LAC Equity Lab
4.1.studwork.19a24,"Youth: In School and Employed (19-24), Male",LAC Equity Lab
4.1.work.15a18,"Youth: Employed (15-18), Male",LAC Equity Lab
4.1.work.15a24,"Youth: Employed (15-24), Male",LAC Equity Lab
4.1.work.19a24,"Youth: Employed (19-24), Male",LAC Equity Lab
4.1_SHARE.RE.IN.ELECTRICITY,Renewable electricity (% in total electricity output),Sustainable Energy for All
4.1_TOTAL.EDU.SPENDING,Public spending on total education (% of total public spending),Global Partnership for Education
4.2.nini.15a18,"Youth: Neither in School Nor Working  (15-18), Female",LAC Equity Lab
4.2.nini.15a24,"Youth: Neither in School Nor Working  (15-24), Female",LAC Equity Lab
4.2.nini.19a24,"Youth: Neither in School Nor Working  (19-24), Female",LAC Equity Lab
4.2.stud.15a18,"Youth: In School (15-18), Female",LAC Equity Lab
4.2.stud.15a24,"Youth: In School (15-24), Female",LAC Equity Lab
4.2.stud.19a24,"Youth: In School (19-24), Female",LAC Equity Lab
4.2.studwork.15a18,"Youth: In School and Employed (15-18), Female",LAC Equity Lab
4.2.studwork.15a24,"Youth: In School and Employed (15-24), Female",LAC Equity Lab
4.2.studwork.19a24,"Youth: In School and Employed (19-24), Female",LAC Equity Lab
4.2.work.15a18,"Youth: Employed (15-18), Female",LAC Equity Lab
4.2.work.15a24,"Youth: Employed (15-24), Female",LAC Equity Lab
4.2.work.19a24,"Youth: Employed (19-24), Female",LAC Equity Lab
4.2_BASIC.EDU.SPENDING,Public spending on basic education (% of public spending on total education),Global Partnership for Education
4.3_TOTAL.EDU.RECURRENT,Public recurrent spending on total education (% of total public recurrent spending),Global Partnership for Education
4.4_BASIC.EDU.RECURRENT,Public recurrent spending on basic education (% of public recurrent spending on total education),Global Partnership for Education
5.0.AMeanIncGr.All,Annualized Mean Income Growth (2004-2014),LAC Equity Lab
5.0.AMeanIncGr.B40,Annualized Mean Income Growth Bottom 40 Percent (2004-2014),LAC Equity Lab
5.1.1_AFG.TOTA.AID.CIDA,"International aid disbursed to total education, CIDA to Afghanistan (USD million)",Global Partnership for Education
5.1.1_ALB.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Albania (USD million)",Global Partnership for Education
5.1.1_BFA.TOTA.AID.CIDA,"International aid disbursed to total education, CIDA to Burkina Faso (USD million)",Global Partnership for Education
5.1.1_CAF.TOT.AID.GPE," International aid disbursed to total education, Global Partnership for Education to Central African Republic (USD million)  ",Global Partnership for Education
5.1.1_CIV.TOTA.AID.AFDB," International aid disbursed to total education, AfDB to Côte d'Ivoire (USD million) ",Global Partnership for Education
5.1.1_CMR.TOTA.AID.BAD,"International aid disbursed to total education, AfDB to Cameroun (USD million) ",Global Partnership for Education
5.1.1_DJI.TOTA.AID.WB,"International aid disbursed to total education, World Bank (IDA) to Djibouti (USD million)",Global Partnership for Education
5.1.1_ETH.TOTA.AID.ADB,"International aid disbursed to total education, ADB to Ethiopia (USD million)",Global Partnership for Education
5.1.1_GEO.TOTA.AID.EC,"International aid disbursed to total education, European Commission to Georgia (USD million)",Global Partnership for Education
5.1.1_GHA.TOTA.AID.DFID,"International aid disbursed to total education, DFID to Djibouti (USD million) ",Global Partnership for Education
5.1.1_GIN.TOTA.AID.ADPP.AFD,"International aid disbursed to total education, AFD to Guinea (USD million) ",Global Partnership for Education
5.1.1_GNB.TOTA.AID.ADPP.EU,"International aid disbursed to total education, ADPP (European Union) to Guinea Bissau (USD million) ",Global Partnership for Education
5.1.1_KGZ.TOTA.AID.ADPP.EU," International aid disbursed to total education, European Commission to Kyrgyzstan (USD million)  ",Global Partnership for Education
5.1.1_KHM.TOTA.AID.BAD," International aid disbursed to total education, AfDB to Cambodia (USD million)  ",Global Partnership for Education
5.1.1_LAO.TOTA.AID.ADB," International aid disbursed to total education, ADB to Laos (USD million)  ",Global Partnership for Education
5.1.1_LBR.TOTA.AID.UNICEF," International aid disbursed to total education, UNICEF to Liberia (USD million)  ",Global Partnership for Education
5.1.1_MDA.TOTA.AID.UNICEF," International aid disbursed to total education, UNICEF to Moldova (USD million)  ",Global Partnership for Education
5.1.1_MDG.TOTA.AID.WB, International aid to total education executed by World Bank (including GPE funds) in Madagascar (USD million)  ,Global Partnership for Education
5.1.1_MOZ.TOTA.AID.CAN," International aid disbursed to total education, Canada to Mozambique (USD million) ",Global Partnership for Education
5.1.1_MRT.TOTA.AID.AFD,"International aid disbursed to total education, AFD to Mauritania (USD million) ",Global Partnership for Education
5.1.1_MWI.TOTA.AID.AFDB,"International aid disbursed to total education, AfDB to Malawi (USD million) ",Global Partnership for Education
5.1.1_NER.TOTA.AID.AFD,"International aid disbursed to total education, AFD to Niger (USD million) ",Global Partnership for Education
5.1.1_RWA.TOTA.AID.DFID," International aid disbursed to total education, DFID to Rwanda (USD million)  ",Global Partnership for Education
5.1.1_SEN.TOTA.AID.CIDA," International aid disbursed to total education, CIDA to Senegal (USD million)  ",Global Partnership for Education
5.1.1_SLE.TOTA.AID.DFID," International aid disbursed to total education, DFID to Sierra Leone (USD million)  ",Global Partnership for Education
5.1.1_VNM.TOTA.AID.BEL,"International aid disbursed to total education, Belgium to Vietnam (USD million) ",Global Partnership for Education
5.1.1_ZMB.TOTA.AID.DNK,"International aid disbursed to total education, Denmark to Zambia (USD million)",Global Partnership for Education
5.1.10_AFG.TOTA.AID.SIDA,"International aid disbursed to total education, Sida to Afghanistan (USD million)",Global Partnership for Education
5.1.10_ETH.TOTA.AID.JPN,"International aid disbursed to total education, Japan Government to Ethiopia (USD million) ",Global Partnership for Education
5.1.10_KHM.TOTA.AID.WFP," International aid disbursed to total education, WFP to Cambodia (USD million)  ",Global Partnership for Education
5.1.10_LAO.TOTA.AID.WB," International aid disbursed to total education, World Bank to Laos (USD million)  ",Global Partnership for Education
5.1.10_MDG.TOTA.AID.EC, International aid to total education executed by the European Commission in Madagascar (USD million)  ,Global Partnership for Education
5.1.10_MOZ.TOTA.AID.JPN," International aid disbursed to total education, Japan to Mozambique (USD million) ",Global Partnership for Education
5.1.10_MWI.TOTA.AID.WFP,"International aid disbursed to total education, WFP to Malawi (USD million) ",Global Partnership for Education
5.1.10_NER.TOTA.AID.UNICEF,"International aid disbursed to total  education, UNICEF to Niger (USD million) ",Global Partnership for Education
5.1.10_TJK.TOTA.AID.WB," International aid disbursed to total education, World Bank to Tajikistan (USD million)  ",Global Partnership for Education
5.1.11_AFG.TOTA.AID.UNESCO,"International aid disbursed to total education, UNESCO to Afghanistan (USD million)",Global Partnership for Education
5.1.11_ETH.TOTA.AID.JICA,"International aid disbursed to total education, JICA to Ethiopia (USD million) ",Global Partnership for Education
5.1.11_KHM.TOTA.AID.WB," International aid disbursed to total education, World Bank to Cambodia (USD million) ",Global Partnership for Education
5.1.11_LAO.TOTA.AID.INGOS," International aid disbursed to total education, International NGOs to Laos (USD million)  ",Global Partnership for Education
5.1.11_MOZ.TOTA.AID.NLD," International aid disbursed to total education, Netherlands to Mozambique (USD million) ",Global Partnership for Education
5.1.11_MWI.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Malawi (USD million) ",Global Partnership for Education
5.1.12_AFG.TOTA.AID.USAID,"International aid disbursed to total education, USAID to Afghanistan (USD million)",Global Partnership for Education
5.1.12_ETH.TOTA.AID.KFW,"International aid disbursed to total education, KfW to Ethiopia (USD million) ",Global Partnership for Education
5.1.12_MOZ.TOTA.AID.PRT," International aid disbursed to total education, Portugal to Mozambique (USD million) ",Global Partnership for Education
5.1.13_AFG.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Afghanistan (USD million)",Global Partnership for Education
5.1.13_ETH.TOTA.AID.NLD,"International aid disbursed to total education, Netherlands to Ethiopia (USD million) ",Global Partnership for Education
5.1.13_MOZ.TOTA.AID.ESP," International aid disbursed to total education, Spain to Mozambique (USD million) ",Global Partnership for Education
5.1.14_ETH.TOTA.AID.SIDA,"International aid disbursed to total education, Sida to Ethiopia (USD million) ",Global Partnership for Education
5.1.14_MOZ.TOTA.AID.UNICEF," International aid disbursed to total education, UNICEF to Mozambique (USD million) ",Global Partnership for Education
5.1.15_ETH.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Ethiopia (USD million) ",Global Partnership for Education
5.1.15_MOZ.TOTA.AID.USAID," International aid disbursed to total education, USAID to Mozambique (USD million) ",Global Partnership for Education
5.1.16_ETH.TOTA.AID.USAID,"International aid disbursed to total education, USAID to Ethiopia (USD million) ",Global Partnership for Education
5.1.16_MOZ.TOTA.AID.WB," International aid disbursed to total education, World Bank to Mozambique (USD million) ",Global Partnership for Education
5.1.17_ETH.TOTA.AID.WFP,"International aid disbursed to total education, WFP to Ethiopia (USD million) ",Global Partnership for Education
5.1.18_ETH.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Ethiopia (USD million) ",Global Partnership for Education
